//アイテム番号	// ※0番にはアイテムを設定しないで下さい。																																																		
// <武器>	名前	効果説明文	アイテム説明文	強化Lv	種類	アイコン番号	ソート番号	ランク	レア	トロフィー	DLCラベル(N+4桁)	解体	進化先判定スクリプト	進化段階	特性スロット数	属性１	属性１値	属性２	属性２値	属性３	属性３値	属性４	属性４値	属性５	属性５値	属性６	属性６値	LV1攻撃力	LV1防御力	LV2必要経験値	LV2攻撃力	LV2防御力	LV3必要経験値	LV3攻撃力	LV3防御力	特性１タイプ	特性１効果値	特性１反応カテゴリ	特性１必要特性値	特性２タイプ	特性２効果値	特性２反応カテゴリ	特性２必要特性値	特性３タイプ	特性３効果値	特性３反応カテゴリ	特性３必要特性値	進化先アイテム１	進化先アイテム２	進化先アイテム３	進化先アイテム４
// <防具>	名前	効果説明文	アイテム説明文	価格	種類	アイコン番号	ソート番号	ランク	レア	トロフィー	DLCラベル(N+4桁)	解体	--------	攻撃力	防御力	属性１	属性１値	属性２	属性２値	属性３	属性３値	属性４	属性４値	属性５	属性５値	属性６	属性６値	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------
// <腕>	名前	効果説明文	アイテム説明文	価格	種類	アイコン番号	ソート番号	ランク	レア	トロフィー	DLCラベル(N+4桁)	解体	--------	攻撃力	防御力	属性１	属性１値	属性２	属性２値	属性３	属性３値	属性４	属性４値	属性５	属性５値	属性６	属性６値	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------
// <アクセサリ>	名前	効果説明文	アイテム説明文	効果ｶﾃｺﾞﾘ(0以外で有効。同じｶﾃｺﾞﾘ値のものは重複装備できない)	種類	アイコン番号	ソート番号	ランク	レア	トロフィー	DLCラベル(N+4桁)	解体	--------	攻撃力	防御力	属性１	属性１値	属性２	属性２値	属性３	属性３値	属性４	属性４値	属性５	属性５値	属性６	属性６値	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------
// <素材>	名前	効果説明文	アイテム説明文	価格	種類	アイコン番号	ソート番号	ランク	レア	トロフィー	DLCラベル(N+4桁)	解体	--------	経験値	特性値	カテゴリ１	カテゴリ２	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------
// <衣装>	名前	サブ説明文	アイテム説明文	価格	種類	アイコン番号	ソート番号	ランク	レア	トロフィー	DLCラベル(N+4桁)	解体	同時装備判別用番号																																						
// <料理>	名前	効果説明文	アイテム説明文	効果時間	種類	アイコン番号	ソート番号	ランク	レア	トロフィー	DLCラベル(N+4桁)	解体	使用時スクリプト	使用条件	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------
// <その他>	名前	効果説明文	アイテム説明文	価格	種類	アイコン番号	ソート番号	ランク	レア	トロフィー	DLCラベル(N+4桁)	解体	使用時スクリプト	使用条件	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------
694	Hide Formula	Apothecary Formula	The formula for brewing a Hermit's Remedy.$nA doctor will know how to use this.	0	ITEM_TYPE_INVENTORY	262	17	4	1	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
695	Power Formula	Apothecary Formula	The formula for brewing a Power Elixir.$nA doctor will know how to use this.	0	ITEM_TYPE_INVENTORY	262	18	5	1	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
696	Defense Formula	Apothecary Formula	The formula for brewing a Defense Elixir.$nA doctor will know how to use this.	0	ITEM_TYPE_INVENTORY	262	19	5	1	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
697	Dynasty Formula	Apothecary Formula	The formula for brewing Dynastic Water.$nA doctor will know how to use this.	0	ITEM_TYPE_INVENTORY	262	20	5	1	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
698	Maiden Journal	View Dana's Notess	Dana's journal.$nContains various information.	0	ITEM_TYPE_INVENTORY	397	0	5	1	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
699	Frosted Flower		A frozen Tyrennian blossom.$nThe only one amid all the debris.	0	ITEM_TYPE_INVENTORY	398	0	5	1	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
700	Blue Seal of Whirling Water	Improves the Iclucian Style	The power of Eld, Spirit of the River.$nImproves Dana's Iclucian Style.	0	ITEM_TYPE_INVENTORY	405	0	5	1	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
701	Green Seal of Roaring Stone	Improves the Gratika Style	The power of Orvis, Spirit of the Midnight Sun.$nImproves Dana's Gratika Style.	0	ITEM_TYPE_INVENTORY	406	0	5	1	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
702	Golden Seal of Piercing Light	Improves the Luminous Style	The power of Selene, Spirit of Covenants.$nImproves Dana's Luminous Style.	0	ITEM_TYPE_INVENTORY	407	0	5	1	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
703	Essence Key Stone		An ancient stone that absorbs Essence.$nIt can nullify Essence barriers.	0	ITEM_TYPE_INVENTORY	408	2	5	1	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
704	---		---	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
705	---		---	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
706	---		---	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
707	---		---	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
708	---		---	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
709	---		---	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
710	---		---	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
711	---		---	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
712	---		---	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
713	---		---	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
714	---		---	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
715	---		---	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
716	---		---	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
717	---		---	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
718	---		---	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
719	---		---	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
// <過去編アクサセリ>																																																			
720	Battle Wristlet	STR +20	A wristlet made for combat that$nuses Essence to boost strength.	1	EQ_COMMON_ACCESSORY	375	80	1	0	0	0	0		20	0	0	0	0	0	0	0	0	0	0	0	0	0																								
721	Star Earring	DEF +30	A star-shaped earring that contains$ndefensive Essence.	2	EQ_COMMON_ACCESSORY	376	81	1	0	0	0	0		0	30	0	0	0	0	0	0	0	0	0	0	0	0																								
722	Saurian Bone Necklace	HP +300	A necklace made of saurian bones.$nIt contains vitality-boosting Essence.	3	EQ_COMMON_ACCESSORY	377	82	1	0	0	0	0		0	0	ZOKU_ABILITY_HPUP	30	0	0	0	0	0	0	0	0	0	0																								
723	Lightning Talisman	Resist Paralysis	Protective talisman of the thunder god.$nSlows the accumulation of Paralysis.	4	EQ_COMMON_ACCESSORY	378	88	2	0	0	0	0		0	0	ZOKU_PARALYZE	50	0	0	0	0	0	0	0	0	0	0																								
724	Saurian God Talisman	Resist Bleed	Protective talisman of the Saurian god.$nSlows the accumulation of Bleeding.	4	EQ_COMMON_ACCESSORY	379	89	2	0	0	0	0		0	0	ZOKU_BLOODLOSS	50	0	0	0	0	0	0	0	0	0	0																								
725	Dervish Hairpin	STR +50, DEF -50, Crit Rate +10%	A hairpin owned by a sword-dancing princess.$nIt sparkles with every step.	15	EQ_COMMON_ACCESSORY	380	84	3	0	0	0	0		50	-50	ZOKU_ABILITY_CRITICAL	10	0	0	0	0	0	0	0	0	0	0																								
726	Spirit Cape	Evade Rate +10%	This robe will increase mobility, like$na spirit swiftly darting through the air.	16	EQ_COMMON_ACCESSORY	381	83	3	0	0	0	0		0	0	ZOKU_ABILITY_AVOID	10	0	0	0	0	0	0	0	0	0	0																								
727	Maiden Amulet	STR/DEF +15, SP Cost 3/4	Believed to be the last will of a girl who was$nchosen to be the Maiden of the Great Tree.	18	EQ_COMMON_ACCESSORY	384	86	4	0	0	0	0		15	15	ZOKU_ABILITY_SPREDUCE	25	0	0	0	0	0	0	0	0	0	0																								
728	Spirit Necklace	Full Recovery Upon Death	A necklace blessed with spiritual protection.$nIt will revive Dana once if she falls in battle.	32	EQ_COMMON_ACCESSORY	385	91	4	1	0	0	0		0	0	ZOKU_ABILITY_RESURECT	100	0	0	0	0	0	0	0	0	0	0																								
729	Essence Crown	Stand Still to Heal	A splendid crown adorned with$nbeautiful Essence stones.	43	EQ_COMMON_ACCESSORY	386	92	3	0	0	0	0		0	0	ZOKU_HEALRING	10	0	0	0	0	0	0	0	0	0	0																								
730	Blue Wind Staff	DEF +10, SP Cost 1/2	This old staff emits soothing Essence. It seems$nready to fly away at a moment's notice.	18	EQ_COMMON_ACCESSORY	387	87	4	1	0	0	0		0	10	ZOKU_ABILITY_SPREDUCE	50	0	0	0	0	0	0	0	0	0	0																								
731	Nature Talisman	Resist All Status	A talisman that represents nature.$nSlows the accumulation of status effects.	4	EQ_COMMON_ACCESSORY	388	90	5	1	0	0	0		0	0	ZOKU_RIBON	75	0	0	0	0	0	0	0	0	0	0																								
732	---		---	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
733	---		---	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
734	---		---	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
// <冒険具>																																																			
735	Gale Feather	Dash Speed +, Tackle Foes	A seabird's feather that$nlets you run like the wind.	0	ITEM_TYPE_EQUIP	308	10	5	1	1	0	0		0	0	0	0	ZOKU_MAGICITEM	735	0	0	0	0	0	0	0	0																								
736	Windy Vestment	Heal More HP by Standing Still	A blessed outfit that$ncalms the mind and soul.	0	ITEM_TYPE_EQUIP	309	11	5	1	1	0	0		0	0	0	0	ZOKU_MAGICITEM	736	0	0	0	0	0	0	0	0																								
737	Grip Gloves	Climb Ivy	These gloves are old, but their$ngrip is still good.	0	ITEM_TYPE_EQUIP	310	0	5	1	1	0	0		0	0	0	0	ZOKU_MAGICITEM	737	0	0	0	0	0	0	0	0																								
738	Hermit's Scale	Breathe Underwater	Grants one the power to$nmake fresh air underwater.	0	ITEM_TYPE_EQUIP	311	4	5	1	1	0	0		0	0	0	0	ZOKU_MAGICITEM	738	0	0	0	0	0	0	0	0																								
739	Glow Stone	Illuminate Surroundings	Emits light created by$nan insect trapped within.	0	ITEM_TYPE_EQUIP	312	1	5	1	1	0	0		0	0	0	0	ZOKU_MAGICITEM	739	0	0	0	0	0	0	0	0																								
740	Floating Shoes	Walk on Swampy Water	Shoes with floating rings attached.$nPirates apparently created them.	0	ITEM_TYPE_EQUIP	313	2	5	1	1	0	0		0	0	0	0	ZOKU_MAGICITEM	740	0	0	0	0	0	0	0	0																								
741	Archaeopteryx Wing	Double Jump	An ancient bird's wings$nthat lets one jump twice.	0	ITEM_TYPE_EQUIP	314	3	5	1	1	0	0		0	0	0	0	ZOKU_MAGICITEM	741	0	0	0	0	0	0	0	0																								
742	Purifying Bell	Slay Undead	An artifact used during the Requiem Ritual.$nIt emits a soul-soothing chime.	0	ITEM_TYPE_EQUIP	315	5	5	1	1	0	0		0	0	0	0	ZOKU_MAGICITEM	742	0	0	0	0	0	0	0	0																								
743	Ares Seal	EXTRA Gauge Fills Slowly	A charm that awakens one's$ninner fighting spirit.	0	ITEM_TYPE_EQUIP	316	12	5	1	1	0	0		0	0	0	0	ZOKU_MAGICITEM	743	0	0	0	0	0	0	0	0																								
744	Aeolus Urn	Attract Dropped Items	Antique earthware that brings$nfortune to its owner.	0	ITEM_TYPE_EQUIP	317	13	5	1	1	0	0		0	0	0	0	ZOKU_MAGICITEM	744	0	0	0	0	0	0	0	0																								
745	Eagle Eye Orb	Increased Mapping Range	A mysterious orb most likely$nfrom the Eternian era.	0	ITEM_TYPE_EQUIP	318	14	5	1	1	0	0		0	0	0	0	ZOKU_MAGICITEM	745	0	0	0	0	0	0	0	0																								
746	---		---	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
747	---		---	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
748	---		---	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
749	---		---	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
// <その他>	名前	効果説明文	アイテム説明文	価格	種類	アイコン番号	ソート番号	ランク	レア	トロフィー	DLCラベル(N+4桁)	解体	使用時スクリプト	使用条件	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------	--------
750	Pirate's Note 1	Piece of Paper	A dead pirate's note. $nRead it in the Journal.	0	ITEM_TYPE_INVENTORY	319	30	0	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
751	Pirate's Note 2	Piece of Paper	A dead pirate's note. $nRead it in the Journal.	0	ITEM_TYPE_INVENTORY	319	31	0	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
752	Pirate's Note 3	Piece of Paper	A dead pirate's note. $nRead it in the Journal.	0	ITEM_TYPE_INVENTORY	319	32	0	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
753	Pirate's Note 4	Piece of Paper	A dead pirate's note. $nRead it in the Journal.	0	ITEM_TYPE_INVENTORY	319	33	0	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
754	Pirate's Note 5	Piece of Paper	A dead pirate's note. $nRead it in the Journal.	0	ITEM_TYPE_INVENTORY	319	34	0	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
755	Pirate's Note 6	Piece of Paper	A dead pirate's note. $nRead it in the Journal.	0	ITEM_TYPE_INVENTORY	319	35	0	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
756	---	---	---	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
757	---	---	---	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
758	---	---	---	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
759	---	---	---	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
760	T's Note 1	Piece of Paper	A note written by "T".$nRead it in the Journal.	0	ITEM_TYPE_INVENTORY	320	36	0	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
761	T's Note 2	Piece of Paper	A note written by "T".$nRead it in the Journal.	0	ITEM_TYPE_INVENTORY	320	37	0	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
762	T's Note 3	Piece of Paper	A note written by "T".$nRead it in the Journal.	0	ITEM_TYPE_INVENTORY	320	38	0	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
763	T's Note 4	Piece of Paper	A note written by "T".$nRead it in the Journal.	0	ITEM_TYPE_INVENTORY	320	39	0	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
764	---	---	---	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
765	---	---	---	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
766	---	---	---	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
767	---	---	---	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
768	---	---	---	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
769	---	---	---	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
770	Ship's Log 1	Piece of Paper	Captain Reed's log.$nRead it in the Journal.	0	ITEM_TYPE_INVENTORY	321	40	0	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
771	Ship's Log 2	Piece of Paper	Captain Reed's log.$nRead it in the Journal.	0	ITEM_TYPE_INVENTORY	321	41	0	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
772	Ship's Log 3	Piece of Paper	Captain Reed's log.$nRead it in the Journal.	0	ITEM_TYPE_INVENTORY	321	42	0	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
773	Ship's Log 4	Piece of Paper	Captain Reed's log.$nRead it in the Journal.	0	ITEM_TYPE_INVENTORY	321	43	0	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
774	Ship's Log 5	Piece of Paper	Captain Reed's log.$nRead it in the Journal.	0	ITEM_TYPE_INVENTORY	321	44	0	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
775	Orichalcum Ore		A giant chunk of orichalcum ore.$nIt glows a scintillating light.	0	ITEM_TYPE_INVENTORY	322	55	0	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
776	Sheet Music		Sheet music for the$nEternian song "Blue Harvest".	0	ITEM_TYPE_INVENTORY	323	70	0	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
777	Monolith Fragment		A fragment of the broken monolith.	0	ITEM_TYPE_INVENTORY	324	71	0	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
778	Flame Stone		A hot stone that Catherine needs$nto forge better weapons and armor.	0	ITEM_TYPE_INVENTORY	325	56	0	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
779	Ship Blueprints		Ship blueprints for escaping the Isle of Seiren.	0	ITEM_TYPE_INVENTORY	327	57	0	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
780	Sweet Pepper Seeds	Vegetable Seeds	Plant these at the farm to$nharvest sweet peppers later.	0	ITEM_TYPE_INVENTORY	328	45	0	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
781	Eggplant Seeds	Vegetable Seeds	Plant these at the farm to$nharvest eggplants later.	0	ITEM_TYPE_INVENTORY	328	46	0	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
782	Cabbage Seeds	Vegetable Seeds	Plant these at the farm to$nharvest cabbage later.	0	ITEM_TYPE_INVENTORY	328	47	0	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
783	Corn Seeds	Vegetable Seeds	Plant these at the farm to$nharvest corn later.	0	ITEM_TYPE_INVENTORY	328	48	0	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
784	Tomato Seeds	Vegetable Seeds	Plant these at the farm to$nharvest tomatoes later.	0	ITEM_TYPE_INVENTORY	328	49	0	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
785	Pumpkin Seeds	Vegetable Seeds	Plant these at the farm to$nharvest pumpkins later.	0	ITEM_TYPE_INVENTORY	328	50	0	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
786	Pikkard		An energetic pikkard. Keep it at the farm.	0	ITEM_TYPE_INVENTORY	335	59	0	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
787	Wish Tree		Plant this at the village$nand make a wish.	0	ITEM_TYPE_INVENTORY	339	73	0	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
788	Treasure Map		A nameless pirate's map.$nLeads to buried treasure.	0	ITEM_TYPE_INVENTORY	340	74	0	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
789	Pirate's Treasure		An old treasure chest.$nShow it to Dina.	0	ITEM_TYPE_INVENTORY	341	75	0	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
790	Pterosaur Egg		The egg of a Primordial pterosaur.$nA heartbeat can be felt within.	0	ITEM_TYPE_INVENTORY	342	76	0	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
791	---	★ボツアイテム	---	0	0	329	77	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
792	Fermented Sap		Sweet sap that has naturally fermented.$nA good substitute for wine in a pinch.	0	ITEM_TYPE_INVENTORY	343	78	0	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
793	---	★ボツアイテム	---	0	0	329	79	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
794	Money Bag		Dina provided this very heavy bag$nof 100,000 Denir.	0	ITEM_TYPE_INVENTORY	344	80	0	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
795	Seiren Area Map		A detailed Isle of Seiren map$ngiven by Captain Reed.	0	ITEM_TYPE_INVENTORY	336	58	0	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
796	Treasure Chest Key		Dana received this from a craftsman$nof Essence Equipment.	0	ITEM_TYPE_INVENTORY	345	81	0	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
797	---		---	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
798	---		---	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
799	---		---	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
800	Precise Needle	Gift Item	A beautiful and precise$nsewing needle for tailoring.	0	ITEM_TYPE_INVENTORY	326	90	3	1	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
801	Romun Badge	Gift Item	A badge with a mighty eagle$nand blade on it.	0	ITEM_TYPE_INVENTORY	333	91	4	1	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
802	Small Ruby	Gift Item	A small ruby that possesses$na heartwarming beauty.	0	ITEM_TYPE_INVENTORY	333	92	4	1	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
803	Rainbow Pigment	Gift Item	A paint that can express$ncolorful feelings.	0	ITEM_TYPE_INVENTORY	333	93	3	1	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
804	Ship Nameplate	Gift Item	A metal nameplate with$n"Lombardia" engraved on it.	0	ITEM_TYPE_INVENTORY	333	94	4	1	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
805	Silver Barrette	Gift Item	An accessory with a very$nfeminine design.	0	ITEM_TYPE_INVENTORY	326	95	3	1	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
806	Golden Emblem	Gift Item	A gorgeous solid gold emblem.	0	ITEM_TYPE_INVENTORY	333	96	4	1	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
807	Sticky Burr	Gift Item	It is actually a seed that$nsticks to your clothes.	0	ITEM_TYPE_INVENTORY	326	97	4	1	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
808	Violet Bookmark	Gift Item	A pressed violet that$nacts as a bookmark.	0	ITEM_TYPE_INVENTORY	326	98	4	1	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
809	Rich Haul Banner	Gift Item	A banner that denotes$na great fishing haul.	0	ITEM_TYPE_INVENTORY	333	99	3	1	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
810	Jasper Pearl	Gift Item	A rare pearl from the$ndepths of the sea.	0	ITEM_TYPE_INVENTORY	333	100	4	1	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
811	Silver Rosary	Gift Item	A silver rosary with$nbeautiful engravings.	0	ITEM_TYPE_INVENTORY	326	101	4	1	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
812	Gladiator Sheath	Gift Item	A gladiator's sword once$ncalled this sheath home.	0	ITEM_TYPE_INVENTORY	326	102	4	1	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
813	Engraved Pen	Gift Item	A pen that has the initial "T"$nengraved on it.	0	ITEM_TYPE_INVENTORY	333	103	4	1	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
814	Silver Music Box	Gift Item	A silver music box$nwith a leaf motif.	0	ITEM_TYPE_INVENTORY	326	104	4	1	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
815	Gold Essence Crystal	Gift Item	From the Eternian era.$nUseless in this day and age.	0	ITEM_TYPE_INVENTORY	326	105	4	1	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
816	Ancient Coin	Gift Item	The currency used in$nEternia Kingdom.	0	ITEM_TYPE_INVENTORY	326	106	4	1	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
817	Hard Liquor	Gift Item	High-proof alcohol made$nfrom distilling wheat.	0	ITEM_TYPE_INVENTORY	333	107	3	1	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
818	Iron Knuckle	Gift Item	A weapon for the fist that$nhas seen years of use.	0	ITEM_TYPE_INVENTORY	333	108	4	1	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
819	Snowflake Soap	Gift Item	White soap handmade using$nisland materials.	0	ITEM_TYPE_INVENTORY	333	109	3	1	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
820	Juggling Balls	Gift Item	Hand-sized balls used$nfor juggling.	0	ITEM_TYPE_INVENTORY	333	110	4	1	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
821	Antique Tea Set	Gift Item	A cup and saucer with$nelegant flower designs.	0	ITEM_TYPE_INVENTORY	333	111	4	1	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
822	Ultra Chef Knife	Gift Item	A quality kitchen knife that$ncan even cut gold coins.	0	ITEM_TYPE_INVENTORY	326	112	4	1	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
823	Teddy Bear	Gift Item	A teddy bear made using soft,$nplush materials.	0	ITEM_TYPE_INVENTORY	326	113	3	1	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
824	Elegant Glasses	Gift Item	Non-prescription glasses$nthat give a classy look.	0	ITEM_TYPE_INVENTORY	326	114	4	1	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0																								
