キャラＩＤ	NAME	LV	LV補正	HPMIN	HPMAX	STRMIN	STRMAX	DEFMIN	DEFMAX	EXPMIN	EXPMAX	斬DMG	打DMG	射DMG	ノックバック許容値	ノックダウン許容値	釣り餌ドロップ確率	最高速度	加速度	減速度	回転速度	Fly最高速度	Fly加速度	Fly減速度	Fly揺れ幅	Fly揺れ速度	WALK_MUL	RUN_MUL	マップあたりSIZE	マップあたり球位置	マップ天井判定高さ	ジャンプ高さ	ジャンプ力	影SIZE	体重	サイズ	状態異常efxスケール	RND_MIN	RND_MAX	反応距離	見失う距離	視野角	死角	見失う時間	行動範囲	STUN耐性	STUN-DEF	STUN値減少通常	STUN値減少STUN	活動開始時刻	活動終了時刻	活動終了時消滅	ITEM	ITEM%	ITEM_MIN	ITEM_MAX	ITEM_RARE	ITEM_RARE%	ITEM_SRARE	ITEM_SRARE%	ITEM_FOOD	ITEM_FOOD%	属性1	属性1値	属性2	属性2値	属性3	属性3値	属性4	属性4値	属性5	属性5値	属性6	属性6値	SAI	死亡EFX	弱点死亡EFX	死亡ジャンプ	死亡EFXノード	種族	
M0662	Daile	50	0.45	80	85	78	82	95	100	22	26	0.5	0.7	0.5	500	500	2	1	0.25	0.1	0.4	0	0	0	0	0	0.3	0.7	1.7	0.5	4.2	4	0.95	1.5	150	0	2.25	0.95	1.05	30	60	120	150	90	50	30000	50	0	200	0	24	0	ICON3D_MT_N3_BONE	800	0	1	ICON3D_MT_N3_LIQUID	50	ICON3D_MT_N4_BONE	10	0	0	ZOKU_WEAK_CRUSH	0	ZOKU_WEAKDMG	7	0	0	0	0	0	0	0	0	m0662	109000	109000	1	Bone_hire	ENTYPE_BEAST	
M0663	Dornicle	53	0.85	303	305	75	78	45	50	53	57	0.65	1	0.8	1500	6400	15	1	0.25	0.1	0.1	0	0	0	0	0	0.45	1	3.6	0.5	7.9	4	0.95	4	500	2	4.75	0.95	1.05	30	60	120	150	90	50	60000	50	0	200	0	24	0	ICON3D_MT_N4_BONE	800	3	3	ICON3D_MT_N4_LEATHER	400	ICON3D_MT_R4_PARTS05	200	ICON3D_FD_MEAT_03	100	0	0	0	0	0	0	0	0	0	0	0	0	m0663	109020	109020	1	atari1	ENTYPE_BEAST	
M0664	Dustalpho	52	0.45	25	30	85	88	50	55	19	24	1	1	1	1000	100	0	0	0	0	0.4	0	0	0	0	0	0.1	1	1	0.5	2.7	4	0.75	0.75	500	0	1.5	0.95	1.05	24	28	120	150	90	30	30000	50	0	200	0	24	0	ICON3D_MT_N3_WOOD	800	0	1	ICON3D_MT_N3_FLOWER	50	ICON3D_MT_N4_WOOD	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m0664	109050	109050	1	Bone_neck	ENTYPE_BEAST	
M0680	Ratnilarda	39	0.85	250	255	83	85	70	73	65	70	1	1	1	1000	1500	0	1.3	0.3	0.3	0.08	0	0	0	0	0	0.1	1	1.75	0.55	4.3	3	0.75	2.25	500	2	3	0.95	1.05	28	50	120	150	90	30	50000	50	0	200	0	24	0	ICON3D_MT_N3_BONE	800	4	4	ICON3D_MT_N4_LEATHER	200	ICON3D_MT_N4_WOOD	100	ICON3D_FD_MEAT_01	400	0	0	0	0	0	0	0	0	0	0	0	0	m0680	109010	109010	1	Bone_root	ENTYPE_BEAST	
																																																																																	
//ENEMY		レベル	補正力(0～1）	ＨＰ偏差最小	ＨＰ偏差最大	ＳＴＲ偏差最小	ＳＴＲ偏差最大	ＤＥＦ偏差最小	ＤＥＦ偏差最大	ＥＸＰ偏差最小	ＥＸＰ変異最大	斬DMG	打DMG	射DMG	ノックバック許容値	ノックダウン許容値	釣り餌ドロップ確率	最高速度	加速度	減速度	回転速度	Fly最高速度	Fly加速度	Fly減速度	Fly揺れ幅	Fly揺れ速度	WALK_MUL	RUN_MUL	マップあたりSIZE	マップあたり球位置	マップ天井判定高さ	ジャンプ高さ	ジャンプ力	影SIZE	体重	サイズ	状態異常efxスケール	RND_MIN	RND_MAX	反応距離	見失う距離	視野角	死角	見失う時間	行動範囲	STUN耐性	STUN-DEF	STUN値減少通常	STUN値減少STUN	活動開始時刻	活動終了時刻	活動終了時消滅	ITEM	ITEM%	ITEM_MIN	ITEM_MAX	ITEM_RARE	ITEM_RARE%	ITEM_SRARE	ITEM_SRARE%	ITEM_FOOD	ITEM_FOOD%	属性1	属性1値	属性2	属性2値	属性3	属性3値	属性4	属性4値	属性5	属性5値	属性6	属性6値	SAI	死亡EFX	弱点死亡EFX	死亡ジャンプ	死亡EFXノード	種族	
M0700	Gibo	46	0.45	45	50	90	95	40	45	33	37	1	1	1	1000	100	2	0	0	0	0.5	0	0	0	0	0	0.1	0.5	0.9	0.5	2.6	4	0.85	0.8	500	0	1.25	1	1	30	30	180	180	90	90	10000	100	0	100	0	24	0	ICON3D_MT_N3_BONE	800	0	1	ICON3D_MT_N3_LIQUID	150	0	0	ICON3D_FD_SEA_SHELLFISH	50	0	0	0	0	0	0	0	0	0	0	0	0	m0700	109000	109000	1	Bone_body2	ENTYPE_BEAST	
M0701	Kedah Bommy	47	0.7	240	245	110	113	115	117	74	76	1	1	1	800	8000	10	0.45	0.08	0.08	0.05	0	0	0	0	0	0.3	1	2.05	0.5	4.8	0	0	3.7	500	1	4	0.95	1.05	30	60	180	180	90	50	10000	25	0	200	0	24	0	ICON3D_MT_N3_LIQUID	800	3	3	ICON3D_MT_R3_PARTS03	150	ICON3D_MT_N4_BONE	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m0701	109020	109020	1	Bone_head	ENTYPE_BEAST	
																																																																																	
//ENEMY		レベル	補正力(0～1）	ＨＰ偏差最小	ＨＰ偏差最大	ＳＴＲ偏差最小	ＳＴＲ偏差最大	ＤＥＦ偏差最小	ＤＥＦ偏差最大	ＥＸＰ偏差最小	ＥＸＰ変異最大	斬DMG	打DMG	射DMG	ノックバック許容値	ノックダウン許容値	釣り餌ドロップ確率	最高速度	加速度	減速度	回転速度	Fly最高速度	Fly加速度	Fly減速度	Fly揺れ幅	Fly揺れ速度	WALK_MUL	RUN_MUL	マップあたりSIZE	マップあたり球位置	マップ天井判定高さ	ジャンプ高さ	ジャンプ力	影SIZE	体重	サイズ	状態異常efxスケール	RND_MIN	RND_MAX	反応距離	見失う距離	視野角	死角	見失う時間	行動範囲	STUN耐性	STUN-DEF	STUN値減少通常	STUN値減少STUN	活動開始時刻	活動終了時刻	活動終了時消滅	ITEM	ITEM%	ITEM_MIN	ITEM_MAX	ITEM_RARE	ITEM_RARE%	ITEM_SRARE	ITEM_SRARE%	ITEM_FOOD	ITEM_FOOD%	属性1	属性1値	属性2	属性2値	属性3	属性3値	属性4	属性4値	属性5	属性5値	属性6	属性6値	SAI	死亡EFX	弱点死亡EFX	死亡ジャンプ	死亡EFXノード	種族	
M0800	Vula-Menua	64	0.45	75	80	80	85	80	85	22	27	1	1	1	300	300	0	1.5	0.15	0.15	0.3	0	0	0	0	0	0.3	1	0.75	0.7	2.6	4	0.95	1	35	0	1.5	0.95	1.05	40	60	120	150	90	50	30000	50	0	100	0	24	0	ICON3D_MT_N4_LEATHER	800	0	1	ICON3D_MT_N4_LIQUID	50	ICON3D_MT_R5_PARTS06	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m0800	109000	109000	1	Bone_upper_01	ENTYPE_BEAST	
M0801	Vula-Marut	65	0.85	260	265	75	80	70	75	43	47	1	1	1	800	2200	0	0.85	0.05	0.05	0.2	0	0	0	0	0	0.3	1	1.75	0.8	5.2	4	0.9	2.3	500	2	3.5	0.95	1.05	30	60	120	150	90	50	45000	50	0	200	0	24	0	ICON3D_MT_N4_BONE	800	2	2	ICON3D_MT_R4_STONE	150	ICON3D_MT_R5_PARTS05	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m0801	109020	109020	1	Bone_root	ENTYPE_BEAST	
M0805	Vulo-Menua	67	0.45	75	80	80	85	80	85	17	22	1	1	1	300	300	0	1.5	0.15	0.15	0.3	0	0	0	0	0	0.3	1	0.75	0.7	2.6	4	0.95	1	35	0	1.5	0.95	1.05	40	60	120	150	90	50	30000	50	0	100	0	24	0	ICON3D_MT_N4_LEATHER	800	0	1	ICON3D_MT_N4_LIQUID	50	ICON3D_MT_R5_PARTS06	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m0800	109000	109000	1	Bone_upper_01	ENTYPE_BEAST	
M0806	Vulo-Marut	68	0.85	260	265	45	50	70	75	35	40	1	1	1	800	2200	0	0.85	0.05	0.05	0.2	0	0	0	0	0	0.3	1	1.75	0.8	5.2	4	0.9	2.3	500	2	3.5	0.95	1.05	30	60	120	150	90	50	45000	50	0	200	0	24	0	ICON3D_MT_N4_BONE	800	2	2	ICON3D_MT_R4_STONE	150	ICON3D_MT_R5_PARTS05	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m0801	109020	109020	1	Bone_root	ENTYPE_BEAST	
M0810	Vunu-Menua	70	0.45	75	80	80	85	80	85	14	19	1	1	1	300	300	0	1.5	0.15	0.15	0.3	0	0	0	0	0	0.3	1	0.75	0.7	2.6	4	0.95	1	35	0	1.5	0.95	1.05	40	60	120	150	90	50	30000	50	0	100	0	24	0	ICON3D_MT_N4_LEATHER	800	0	1	ICON3D_MT_N4_LIQUID	50	ICON3D_MT_R5_PARTS06	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m0800	109000	109000	1	Bone_upper_01	ENTYPE_BEAST	
M0811	Vunu-Marut	71	0.85	260	265	45	50	70	75	35	39	1	1	1	800	2200	0	0.85	0.05	0.05	0.2	0	0	0	0	0	0.3	1	1.75	0.8	5.2	4	0.9	2.3	500	2	3.5	0.95	1.05	30	60	120	150	90	50	45000	50	0	200	0	24	0	ICON3D_MT_N4_BONE	800	2	2	ICON3D_MT_R4_STONE	150	ICON3D_MT_R5_PARTS05	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m0801	109020	109020	1	Bone_root	ENTYPE_BEAST	
M0815	Vuno-Menua	73	0.45	75	80	80	85	80	85	12	17	1	1	1	300	300	0	1.5	0.15	0.15	0.3	0	0	0	0	0	0.3	1	0.75	0.7	2.6	4	0.95	1	35	0	1.5	0.95	1.05	40	60	120	150	90	50	30000	50	0	100	0	24	0	ICON3D_MT_N4_LEATHER	800	0	1	ICON3D_MT_N4_LIQUID	50	ICON3D_MT_R5_PARTS06	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m0800	109000	109000	1	Bone_upper_01	ENTYPE_BEAST	
M0816	Vuno-Marut	74	0.85	260	265	45	50	70	75	33	37	1	1	1	800	2200	0	0.85	0.05	0.05	0.2	0	0	0	0	0	0.3	1	1.75	0.8	5.2	4	0.9	2.3	500	2	3.5	0.95	1.05	30	60	120	150	90	50	45000	50	0	200	0	24	0	ICON3D_MT_N4_BONE	800	2	2	ICON3D_MT_R4_STONE	150	ICON3D_MT_R5_PARTS05	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m0801	109020	109020	1	Bone_root	ENTYPE_BEAST	
																																																																																	
M0830	Zanvis	65	0.45	60	65	50	55	55	60	27	32	1	0.5	0.5	1	1	5	1.5	0.25	0.1	0.4	0	0	0	0	0	0.3	1	0.75	0.5	2.2	0	0	1	25	0	1.25	0.95	1.05	40	60	180	180	90	50	30000	50	0	200	0	24	0	ICON3D_MT_N4_LIQUID	800	0	1	ICON3D_MT_R4_PARTS02	50	ICON3D_MT_R5_PARTS05	10	0	0	ZOKU_WEAK_SLASH	0	ZOKU_WEAKDMG	0	ZOKU_RIBON	100	0	0	0	0	0	0	m0830	109000	109000	1	Bone_Root	ENTYPE_BEAST	
M0831	Squeed	66	0.45	85	90	65	70	80	85	32	37	1	0.7	0.9	100	100	5	0	0	0	0.2	0	0	0	0	0	0.1	1	1	0.5	2.9	0	0	1.5	500	0	1.5	0.95	1.05	24	28	120	150	90	30	30000	50	0	200	0	24	0	ICON3D_MT_N4_WOOD	800	0	1	ICON3D_MT_R4_WOOD	50	ICON3D_MT_R4_PARTS04	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m0831	109050	109050	0	Bone_head	ENTYPE_BEAST	
																																																																																	
M0840	Trema	68	0.45	110	125	65	70	90	95	17	22	0.3	0.5	0.35	500	500	5	1.5	0.25	0.1	0.25	0	0	0	0	0	0.3	1	1.2	0.5	3.3	4	0.95	1.25	50	0	1.5	0.95	1.05	30	60	120	150	90	50	30000	50	0	200	0	24	0	ICON3D_MT_N4_STONE	800	0	1	ICON3D_MT_R4_PARTS03	50	ICON3D_MT_R5_PARTS05	10	0	0	ZOKU_WEAK_CRUSH	0	ZOKU_WEAKDMG	7	0	0	0	0	0	0	0	0	m0840	109000	109000	1	Bone_root	ENTYPE_INSECT	
M0841	Giganess	69	0.7	150	155	80	85	85	90	38	43	1	1	1	1600	2400	0	1.5	0.25	0.1	0.15	0	0	0	0	0	0.45	1.25	1.4	0.7	5.3	12	0.75	1.75	300	1	2.75	0.95	1.05	24	28	120	150	90	30	30000	50	0	200	0	24	0	ICON3D_MT_R4_PARTS01	400	1	1	ICON3D_MT_R4_WOOD	400	ICON3D_MT_R5_PARTS06	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m0841	109020	109020	1	Bone_chest	ENTYPE_BEAST	
																																																																																	
M0850	Prugeccia	72	0.7	135	140	75	80	40	45	28	33	0.65	0.65	1	100	2800	5	1.5	0.12	0.08	0.1	0.08	0.06	0.04	0.1	0.2	0.3	1	1.8	0.5	4.2	0	0	2	250	1	2.5	0.95	1.05	30	60	120	150	90	50	30000	50	0	200	0	24	0	ICON3D_MT_R4_PARTS02	400	0	1	ICON3D_MT_R4_PARTS04	400	ICON3D_MT_R5_PARTS06	400	0	0	ZOKU_WEAK_SHOOT	0	0	0	0	0	0	0	0	0	0	0	m0850	109070	109070	1	Bone_root	ENTYPE_INSECT	
M0851	Elpion	71	0.45	50	55	110	115	100	105	20	24	1	1	1	100	100	5	0	0	0	0.25	0	0	0	0	0	0.1	1	1	0.5	3	0	0	0.9	500	0	1.5	0.95	1.05	50	50	120	150	90	30	30000	50	0	200	0	24	0	ICON3D_MT_N4_FLOWER	800	0	1	ICON3D_MT_R4_WOOD	50	ICON3D_MT_R5_PARTS05	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m0851	109050	109050	1	Bone_root	ENTYPE_INSECT	
																																																																																	
M0860	Oroodanyo	75	0.45	50	55	75	80	80	85	25	30	1	1	1	500	500	0	1.5	0.25	0.1	0.4	0	0	0	0	0	0.3	1	0.9	0.5	3.5	4	0.75	0.75	100	0	1.25	0.95	1.05	24	28	180	180	90	30	30000	50	0	200	0	24	0	ICON3D_MT_R4_PARTS04	400	0	1	ICON3D_MT_R5_PARTS06	400	ICON3D_MT_R5_PARTS05	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m0860	109000	109000	1	Bone_Root	ENTYPE_BEAST	
M0861	Palejeni	74	0.45	90	95	90	95	70	75	29	34	1	1	1	500	500	0	0	0	0	0.4	0	0	0	0	0	0.3	1	1	0.5	3.5	4	0.95	0.8	500	0	1.5	0.95	1.05	30	60	120	150	90	5	30000	50	0	200	0	24	0	ICON3D_MT_R4_PARTS02	400	0	1	ICON3D_MT_R5_PARTS05	400	ICON3D_MT_R5_PARTS06	400	0	0	ZOKU_ABILITY_DARK	45	0	0	0	0	0	0	0	0	0	0	m0861	109000	109000	1	Bone_body02	ENTYPE_BEAST	
																																																																																	
M0870	Hanmorph	78	0.85	270	275	95	100	60	65	54	59	1	1	1	1800	4000	0	0.9	0.3	0.3	0.15	0	0	0	0	0	0.3	1	3.2	0.7	7.4	12	1.5	3.5	500	2	4.25	0.95	1.05	30	50	120	150	90	50	70000	100	0	100	0	24	0	ICON3D_MT_R4_STONE	400	3	3	ICON3D_MT_R5_PARTS05	400	ICON3D_MT_R5_PARTS07	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m0870	109070	109070	1	bone_root	ENTYPE_BEAST	
M0871	Morx	78	0.45	70	75	65	70	45	50	13	18	1	1	1	300	600	0	0.9	0.25	0.25	0.25	0	0	0	0	0	0.3	1	0.85	0.7	2.5	4	0.95	1.5	40	0	1.5	0.95	1.05	32	48	150	180	90	50	30000	50	0	200	0	24	0	ICON3D_MT_R4_PARTS04	400	0	1	ICON3D_MT_R5_PARTS05	400	ICON3D_MT_R5_PARTS06	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m0871	109050	109050	1	Null_center	ENTYPE_BEAST	
																																																																																	
M0881	Zindare	66	0.85	260	260	87	87	89	89	80	80	1	1	1	700	1800	0	1	0.1	0.1	0.4	0	0	0	0	0	0.1	1	2.1	0.5	5	4	0.75	2.2	500	2	3	1	1	30	60	120	150	999	50	30000	100	0	100	0	24	0	ICON3D_MT_R4_STONE	800	4	4	ICON3D_MT_R5_PARTS05	800	ICON3D_MT_R5_PARTS07	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m0403	109120	109120	1	Bone_upper02	ENTYPE_INSECT	
M0882	Superion	66	0.85	300	300	105	105	97	97	85	85	1	1	1	2400	4300	0	1.75	0.2	0.2	0.1	0	0	0	0	0	0.2	1	3	0.9	7	3	0.75	3.8	500	2	4	1	1	30	60	120	150	999	50	60000	100	0	100	0	24	0	ICON3D_MT_R4_PARTS07	800	4	4	ICON3D_MT_R5_PARTS06	800	ICON3D_MT_R5_PARTS07	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m0605	109120	109120	1	Bone_upper02	ENTYPE_BEAST	
M0883	Abyss Bloom	66	0.85	360	360	120	120	60	60	90	90	1	1	1	500	7500	0	0	0	0	0.4	0	0	0	0	0	0.3	1	2.5	0.5	6	4	0.95	3	500	2	3.5	1	1	30	60	120	150	999	50	90000	50	0	200	0	24	0	ICON3D_MT_R4_WOOD	800	5	5	ICON3D_MT_R5_PARTS06	800	ICON3D_MT_R5_PARTS07	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m0661	109120	109120	1	Bone_body02	ENTYPE_BEAST	
M0884	Deanafrog	69	0.85	300	300	95	95	75	75	70	70	1	1	1	1600	2400	0	1	0.1	0.1	0.1	0	0	0	0	0	0.1	1	2	0.5	1	0	0	4	500	2	4	1	1	30	60	180	180	999	50	60000	50	0	200	0	24	0	ICON3D_MT_R4_PARTS04	800	4	4	ICON3D_MT_R5_PARTS06	800	ICON3D_MT_R5_PARTS07	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m2102	109120	109120	1	Null_ALL	ENTYPE_BEAST	
M0885	Chronotylan	69	0.85	310	310	105	105	70	70	75	75	0.9	1	0.8	2700	6400	0	1.2	0.25	0.1	0.1	0	0	0	0	0	0.45	1	3.6	0.5	7.9	4	0.95	4	500	2	4.75	1	1	30	60	120	150	999	50	120000	100	0	100	0	24	0	ICON3D_MT_R4_STONE	800	5	5	ICON3D_MT_R5_PARTS05	800	ICON3D_MT_R5_PARTS07	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m0663	109120	109120	1	atari1	ENTYPE_BEAST	
M0886	Blightsoul	69	0.85	320	320	100	100	89	89	80	80	1	1	1	999999	10000	0	1	0.1	0.3	0.1	0	0.01	0.02	0	0	0.12	1.25	3	0.5	6.6	12	1.5	4	500	2	4.5	1	1	30	60	180	180	999	50	999999	100	999999	1	0	24	0	ICON3D_MT_R4_PARTS07	800	6	6	ICON3D_MT_R5_PARTS05	800	ICON3D_MT_R5_PARTS07	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m0886	109120	109120	1	Bone_spine	ENTYPE_BEAST	
M0887	Audibax	72	0.85	320	320	90	90	90	90	85	85	1	1	1	1500	7500	0	1.05	0.3	0.3	0.095	0	0	0	0	0	0.45	1	3.3	0.5	7.5	2	0.85	3.2	500	2	4	1	1	30	30	180	180	999	50	100000	100	0	100	0	24	0	ICON3D_MT_R4_STONE	800	6	6	ICON3D_MT_R5_PARTS05	800	ICON3D_MT_R5_PARTS07	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m0942	109120	109120	1	Bone_body0	ENTYPE_BEAST	
M0888	Palladiosage	72	0.85	330	330	80	80	75	75	90	90	0.8	0.9	1	800	5000	0	1.15	0.1	0.1	0.4	0.2	0.1	0.1	0.25	0.1	0.1	1	2.9	0.6	6.5	4	0.75	2.5	500	2	2.75	1	1	30	60	120	150	999	50	75000	100	0	100	0	24	0	ICON3D_MT_R5_PARTS05	800	6	6	ICON3D_MT_R5_PARTS06	800	ICON3D_MT_R5_PARTS07	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m0501	109120	109120	0	Bone_root	ENTYPE_INSECT	
M0889	Desmagazel	75	0.85	270	270	95	95	180	180	85	85	0.9	1	0.8	2400	6000	0	1.2	0.2	0.2	0.065	0	0	0	0	0	0.1	1	2	0.5	4.6	4	0.75	4	500	2	5	1	1	50	60	120	180	999	50	50000	10	0	150	0	24	0	ICON3D_MT_R5_PARTS05	800	6	6	ICON3D_MT_R5_PARTS06	800	ICON3D_MT_R5_PARTS07	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m1403	109120	109120	1	Bone_root	ENTYPE_BEAST	
M0890	Duskova	75	0.85	290	290	85	85	100	100	90	90	1	1	1	999999	9000	0	1.4	0.15	0.15	0.25	0	0	0	0	0	0.1	1	3.5	0.1	7.6	0	0	3.5	500	2	4	1	1	50	60	180	180	999	50	150000	80	0	150	0	24	0	ICON3D_MT_R5_PARTS05	800	6	6	ICON3D_MT_R5_PARTS06	800	ICON3D_MT_R5_PARTS07	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m0111	109120	109120	1	ATARI	ENTYPE_BEAST	
																																																																																	
//ENEMY		レベル	補正力(0～1）	ＨＰ偏差最小	ＨＰ偏差最大	ＳＴＲ偏差最小	ＳＴＲ偏差最大	ＤＥＦ偏差最小	ＤＥＦ偏差最大	ＥＸＰ偏差最小	ＥＸＰ変異最大	斬DMG	打DMG	射DMG	ノックバック許容値	ノックダウン許容値	釣り餌ドロップ確率	最高速度	加速度	減速度	回転速度	Fly最高速度	Fly加速度	Fly減速度	Fly揺れ幅	Fly揺れ速度	WALK_MUL	RUN_MUL	マップあたりSIZE	マップあたり球位置	マップ天井判定高さ	ジャンプ高さ	ジャンプ力	影SIZE	体重	サイズ	状態異常efxスケール	RND_MIN	RND_MAX	反応距離	見失う距離	視野角	死角	見失う時間	行動範囲	STUN耐性	STUN-DEF	STUN値減少通常	STUN値減少STUN	活動開始時刻	活動終了時刻	活動終了時消滅	ITEM	ITEM%	ITEM_MIN	ITEM_MAX	ITEM_RARE	ITEM_RARE%	ITEM_SRARE	ITEM_SRARE%	ITEM_FOOD	ITEM_FOOD%	属性1	属性1値	属性2	属性2値	属性3	属性3値	属性4	属性4値	属性5	属性5値	属性6	属性6値	SAI	死亡EFX	弱点死亡EFX	死亡ジャンプ	死亡EFXノード	種族	
M0901	Zokru	47	0.45	50	55	98	102	55	60	24	26	1	1	1	200	500	0	1.5	0.25	0.1	0.4	0	0	0	0	0	0.3	1	0.85	0.5	2.5	4	0.95	1	25	0	1	0.95	1.05	30	60	120	150	90	50	30000	50	0	200	0	24	0	ICON3D_MT_N2_BONE	800	0	1	ICON3D_MT_N3_BONE	50	ICON3D_MT_N4_BONE	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m0901	109100	109100	1	Bone_Root	ENTYPE_UNDEAD	
M0902	Gilkyra	48	0.7	180	185	85	90	85	90	87	92	0.7	1	0.6	1000	2500	5	0.95	0.3	0.3	0.15	0	0	0	0	0	0.4	1	2	0.5	4.8	3	0.65	3.5	500	1	3	0.95	1.05	48	60	150	180	90	90	40000	50	0	200	0	24	0	ICON3D_MT_N3_LIQUID	800	2	2	ICON3D_MT_N4_LEATHER	400	ICON3D_MT_N4_LIQUID	200	ICON3D_FD_MEAT_02	50	0	0	0	0	0	0	0	0	0	0	0	0	m0902	109020	109020	1	Bone_root	ENTYPE_BEAST	
M0903	Catablepne	48	0.45	55	60	82	86	55	60	34	38	1	1	1	1000	500	5	0	0	0	0.4	0	0	0	0	0	0.3	1	0.9	0.5	2.7	4	0.75	1	500	0	1.25	0.95	1.05	30	60	120	150	90	50	30000	50	0	200	0	24	0	ICON3D_MT_N3_BONE	800	0	1	ICON3D_MT_N4_LIQUID	50	0	0	ICON3D_FD_SEA_SALT	100	0	0	0	0	0	0	0	0	0	0	0	0	m0903	109000	109000	1	Bone_body_03	ENTYPE_BEAST	
																																																																																	
M0910	Cramatange	24	0.45	38	43	41	46	55	60	3	6	1	1	1	500	500	0	0	0	0	0.07	0	0	0	0	0	0.3	1	1.25	0.4	3.2	0	0	2.5	500	0	2.5	0.95	1.05	20	30	180	180	90	20	30000	50	0	200	0	24	0	ICON3D_MT_N1_WOOD	800	0	1	ICON3D_MT_R2_WOOD	50	0	0	ICON3D_FD_MUSHROOM	100	0	0	0	0	0	0	0	0	0	0	0	0	m0910	109050	109050	1	Bone_Bone1	ENTYPE_BEAST	
M0911	Ercaota	24	0.45	90	93	53	58	40	46	4	7	1	0.4	0.7	500	500	5	1.1	0.25	0.1	0.2	0	0	0	0	0	0.3	1	1	0.5	2.8	2	0.8	2	100	0	2	0.95	1.05	16	32	120	150	90	26	30000	50	0	200	0	24	0	ICON3D_MT_N1_LIQUID	800	0	1	ICON3D_MT_N2_LEATHER	50	ICON3D_MT_N2_LIQUID	10	0	0	ZOKU_WEAK_SLASH	0	0	0	0	0	0	0	0	0	0	0	m0911	109000	109000	1	atari1	ENTYPE_BEAST	
M0915	Gyashark	25	0.45	70	75	90	94	35	40	3	7	1	1	1	500	500	2	1.5	0.25	0.1	0.25	0	0	0	0	0	0.3	1	1.5	1	4.5	3	0.75	1.2	30	0	1.5	0.95	1.05	32	32	150	170	90	24	30000	50	0	200	0	24	0	ICON3D_MT_N1_LIQUID	800	0	1	ICON3D_MT_N2_LEATHER	150	ICON3D_MT_R2_STONE	50	0	0	ZOKU_ABILITY_POISON	80	0	0	0	0	0	0	0	0	0	0	m0915	109000	109000	1	Bone_Root	ENTYPE_BEAST	
M0916	Gidol	51	0.45	95	100	85	90	115	120	9	14	0.25	1	0.35	1000	100	2	0.25	0.1	0.1	0.3	0	0	0	0	0	0.1	0.5	0.9	0.5	2.6	0	0	0.8	500	0	1.25	1	1	40	60	150	170	90	90	10000	100	0	100	0	24	0	ICON3D_MT_N3_BONE	800	0	1	ICON3D_MT_N3_LIQUID	50	ICON3D_MT_R2_PARTS03	50	0	0	ZOKU_WEAK_CRUSH	0	ZOKU_WEAKDMG	8	0	0	0	0	0	0	0	0	m0916	109000	109000	1	Bone_body2	ENTYPE_BEAST	
																																																																																	
M0920	Velgyashark	53	0.85	275	280	105	110	75	80	45	50	1	1	1	2000	6000	15	1.5	0.25	0.1	0.1	0.1	0.05	0.05	0.25	0.1	0.3	1	2	0.5	5	4	0.95	2.5	500	2	3.25	0.95	1.05	30	60	120	150	90	30	50000	50	0	100	0	24	0	ICON3D_MT_N4_LEATHER	800	3	3	ICON3D_MT_N4_LIQUID	400	ICON3D_MT_R3_PARTS04	50	ICON3D_FD_MEAT_02	100	0	0	0	0	0	0	0	0	0	0	0	0	m0920	109020	109020	1	Bone_Root	ENTYPE_BEAST	
